,geoid,year,combined_id,total_pop,median_age,nonfamily_households,family_households,high_school_including_ged,graduate_professional_degree,some_college_and_associates_degree,housing_units,occupied_housing_units,median_structure_age,dwellings_under_4_units,dwellings_5_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,walked_to_work,commuters_by_public_transportation,commuters_by_car_truck_van,commute_under_10_mins,commute_10_29_mins,commute_30_59_mins,commute_over_60_mins,income_per_capita,gini_index,poverty,rent_over_50_percent,rent_25_to_50_percent,rent_under_25_percent,median_rent
58,39540,2007,39540.acs,195099.0,37.8,24906.0,49618.0,44232.0,9249.0,38434.0,80915.0,74524.0,54.0,68388.0,6809.0,3254.0,1788.0,2120.0,1530.0,86382.0,,46723.0,,,25274.0,0.425,15116.0,4288.0,8368.0,5989.0,570.0
59,20100,2007,20100.acs,152255.0,36.1,16626.0,40804.0,34981.0,6479.0,30338.0,61656.0,57430.0,34.0,47725.0,3680.0,540.0,1889.0,1208.0,945.0,61220.0,,33920.0,,,22969.0,0.431,18618.0,4264.0,6626.0,2862.0,743.0
60,43780,2007,43780.acs,316639.0,36.6,41404.0,79223.0,71252.0,18796.0,52326.0,139481.0,120627.0,54.0,116789.0,11729.0,3742.0,2527.0,5739.0,1925.0,130446.0,,88471.0,,,22341.0,0.432,39603.0,7244.0,10215.0,9947.0,536.0
61,28740,2007,28740.acs,181860.0,40.5,24108.0,45151.0,37815.0,17265.0,34411.0,81493.0,69259.0,56.0,68997.0,5600.0,681.0,1661.0,3634.0,2725.0,74926.0,,43240.0,,,28020.0,0.426,18965.0,5626.0,6882.0,4572.0,747.0
62,39100,2007,39100.acs,669915.0,36.3,66603.0,158655.0,136532.0,51345.0,118333.0,246202.0,225258.0,49.0,203420.0,23716.0,4499.0,5890.0,12534.0,15257.0,267867.0,81441.0,131575.0,93340.0,95782.0,28510.0,0.411,62454.0,18159.0,18844.0,12063.0,862.0
63,14860,2007,14860.acs,895015.0,39.4,100192.0,223656.0,148778.0,111167.0,122128.0,350498.0,323848.0,57.0,289024.0,27309.0,12281.0,20137.0,15013.0,40880.0,346773.0,94086.0,206374.0,118230.0,111278.0,47940.0,0.534,57807.0,22707.0,33723.0,21671.0,1020.0
64,40140,2007,40140.acs,4081371.0,30.8,312333.0,929979.0,695535.0,160908.0,761142.0,1436360.0,1242312.0,35.0,1139530.0,119141.0,25209.0,36315.0,29859.0,23284.0,1559667.0,352952.0,728809.0,555878.0,514236.0,23273.0,0.426,470893.0,100572.0,160510.0,76589.0,930.0
65,10900,2007,10900.acs,803844.0,39.4,97517.0,211209.0,203199.0,52009.0,129540.0,333208.0,308726.0,55.0,286971.0,24798.0,5283.0,6895.0,10395.0,8329.0,349550.0,83733.0,187862.0,115592.0,85444.0,26538.0,0.41,62812.0,17436.0,31689.0,20187.0,664.0
66,38300,2007,38300.acs,2355712.0,42.2,353578.0,627532.0,620419.0,174056.0,408352.0,1106077.0,981110.0,62.0,919285.0,76507.0,27228.0,38867.0,39634.0,59030.0,951345.0,250461.0,531621.0,392313.0,145412.0,26423.0,0.465,257361.0,60784.0,92730.0,71548.0,489.0
67,12100,2007,12100.acs,270644.0,38.3,33115.0,70082.0,66751.0,11229.0,46231.0,126388.0,103197.0,43.0,96606.0,13943.0,4097.0,8524.0,3601.0,11750.0,102102.0,,70295.0,,,26743.0,0.442,33399.0,9170.0,11472.0,5638.0,793.0
68,47900,2007,47900.acs,5306125.0,36.5,692930.0,1265174.0,722604.0,778899.0,763804.0,2133143.0,1958104.0,41.0,1507009.0,313976.0,72439.0,223392.0,82419.0,371137.0,2172552.0,342028.0,1025875.0,1264818.0,855604.0,40899.0,0.436,352204.0,124608.0,247370.0,150012.0,1095.0
69,33460,2007,33460.acs,3208212.0,36.3,428463.0,817579.0,528544.0,250574.0,642614.0,1323904.0,1246042.0,42.0,1025224.0,84105.0,78401.0,112976.0,37989.0,71262.0,1466615.0,344698.0,856735.0,597040.0,160304.0,32372.0,0.43,264245.0,69741.0,124082.0,76299.0,739.0
70,33100,2007,33100.acs,5413212.0,39.9,704711.0,1297370.0,1068738.0,372029.0,931911.0,2413314.0,2002081.0,39.0,1442015.0,301335.0,258588.0,352662.0,45335.0,91279.0,2193915.0,368365.0,1093573.0,1058340.0,437424.0,27394.0,0.492,681169.0,198609.0,248487.0,94942.0,905.0
71,38060,2007,38060.acs,4179427.0,33.8,484020.0,965937.0,693958.0,245365.0,821602.0,1666222.0,1449957.0,30.0,1243606.0,198434.0,41853.0,61757.0,34257.0,47013.0,1674623.0,322738.0,854951.0,775807.0,272646.0,26303.0,0.444,536649.0,106058.0,171179.0,100675.0,752.0
72,31100,2007,31100.acs,12875587.0,34.8,1327523.0,2831093.0,1831090.0,839915.0,2022986.0,4403935.0,4158616.0,53.0,2944302.0,665897.0,335457.0,366787.0,154554.0,356935.0,4966949.0,880395.0,2612095.0,2253128.0,1293440.0,28228.0,0.487,1690062.0,530647.0,758141.0,388571.0,1015.0
73,19740,2007,19740.acs,2466591.0,35.8,347115.0,605919.0,385153.0,208440.0,459311.0,1044147.0,953034.0,40.0,758323.0,133999.0,74536.0,56875.0,28841.0,59227.0,1074793.0,193780.0,601698.0,488745.0,153290.0,30852.0,0.45,280103.0,69947.0,108016.0,73885.0,718.0
74,45940,2007,45940.acs,365449.0,37.0,40626.0,87400.0,65747.0,42752.0,53555.0,140428.0,128026.0,55.0,111117.0,18178.0,4489.0,6116.0,6462.0,11989.0,146497.0,40900.0,89663.0,46529.0,38086.0,34892.0,0.466,32635.0,9376.0,13833.0,8265.0,864.0
75,12420,2007,12420.acs,1593400.0,32.2,219499.0,364099.0,207276.0,134635.0,263701.0,638649.0,583598.0,30.0,448538.0,78348.0,36787.0,41942.0,13671.0,24238.0,712351.0,141495.0,398256.0,286591.0,110424.0,28822.0,0.451,198682.0,57110.0,83839.0,58115.0,701.0
76,21340,2007,21340.acs,734669.0,31.3,54042.0,177339.0,107540.0,27570.0,109577.0,253055.0,231381.0,40.0,194366.0,18398.0,5522.0,20636.0,6101.0,5597.0,253543.0,59368.0,160492.0,82805.0,19920.0,16085.0,0.485,207760.0,17613.0,31793.0,15937.0,472.0
77,39740,2007,39740.acs,401955.0,38.2,42661.0,105978.0,104589.0,18706.0,60559.0,160181.0,148639.0,56.0,140420.0,8265.0,3001.0,3839.0,7006.0,3050.0,172151.0,48446.0,104263.0,49574.0,25800.0,25458.0,0.425,44041.0,7280.0,13284.0,8847.0,579.0
78,27140,2007,27140.acs,531869.0,34.5,62174.0,134173.0,83953.0,31049.0,97086.0,220570.0,196347.0,38.0,174049.0,20532.0,2955.0,3454.0,2573.0,938.0,224572.0,,132096.0,,,23973.0,0.485,86310.0,13533.0,20564.0,11942.0,558.0
79,44140,2007,44140.acs,682657.0,37.8,98514.0,162105.0,148800.0,54330.0,108977.0,283361.0,260619.0,62.0,229438.0,29974.0,8542.0,11323.0,15186.0,5159.0,278134.0,82981.0,178863.0,75155.0,32644.0,25057.0,0.452,98185.0,24732.0,33037.0,18596.0,629.0
80,26900,2007,26900.acs,1697964.0,35.7,221350.0,436095.0,337568.0,114088.0,294105.0,747430.0,657445.0,43.0,599343.0,92596.0,18266.0,16833.0,13089.0,6543.0,764800.0,176618.0,425015.0,291495.0,68932.0,27683.0,0.446,178666.0,40262.0,70193.0,54142.0,578.0
81,14460,2007,14460.acs,4482857.0,38.3,621410.0,1063339.0,793853.0,547300.0,666167.0,1821101.0,1684749.0,62.0,1386396.0,196115.0,96736.0,119977.0,106685.0,271369.0,1752611.0,405674.0,936165.0,954549.0,471050.0,35360.0,0.468,400522.0,140865.0,210267.0,135537.0,949.0
82,28140,2007,28140.acs,1980977.0,36.6,256242.0,515717.0,385080.0,140069.0,376538.0,860205.0,771959.0,44.0,711794.0,86017.0,20514.0,23110.0,15148.0,12986.0,902773.0,231817.0,517982.0,323317.0,71776.0,27650.0,0.436,200075.0,46504.0,83414.0,61118.0,575.0
83,37980,2007,37980.acs,5827962.0,38.1,755193.0,1432980.0,1249569.0,477486.0,903829.0,2386069.0,2188173.0,57.0,1998705.0,180699.0,60109.0,115422.0,99848.0,241502.0,2259150.0,521518.0,1215822.0,1067918.0,525950.0,30283.0,0.466,650016.0,161740.0,223437.0,145322.0,734.0
84,41180,2007,41180.acs,2802282.0,37.9,364681.0,729767.0,550439.0,192128.0,545414.0,1222426.0,1094448.0,49.0,1021206.0,97393.0,20559.0,34767.0,21229.0,35106.0,1218645.0,273283.0,663789.0,508042.0,136460.0,27243.0,0.449,300980.0,67688.0,99461.0,75010.0,537.0
85,41940,2007,41940.acs,1803549.0,36.5,178344.0,419855.0,210167.0,228687.0,284927.0,631674.0,598199.0,46.0,465236.0,65885.0,29527.0,53992.0,19653.0,32535.0,748783.0,137916.0,464512.0,281979.0,108562.0,38803.0,0.451,150755.0,50626.0,85076.0,63647.0,1236.0
