,geoid,Unnamed: 0,2007.mean.88502,2007.stdev.88502,2008.mean.88502,2008.stdev.88502,2009.mean.88502,2009.stdev.88502,2010.mean.88502,2010.stdev.88502,2011.mean.88502,2011.stdev.88502,2012.mean.88502,2012.stdev.88502,2013.mean.88502,2013.stdev.88502,2014.mean.88502,2014.stdev.88502,2015.mean.88502,2015.stdev.88502,2016.mean.88502,2016.stdev.88502,2017.mean.88502,2017.stdev.88502,2018.mean.88502,2018.stdev.88502,2007.mean.68105,2007.stdev.68105,2008.mean.68105,2008.stdev.68105,2009.mean.68105,2009.stdev.68105,2010.mean.68105,2010.stdev.68105,2011.mean.68105,2011.stdev.68105,2012.mean.68105,2012.stdev.68105,2013.mean.68105,2013.stdev.68105,2014.mean.68105,2014.stdev.68105,2015.mean.68105,2015.stdev.68105,2016.mean.68105,2016.stdev.68105,2017.mean.68105,2017.stdev.68105,2018.mean.68105,2018.stdev.68105
108,25220,601.0,,,,,,,,,,,,,,,,,,,,,,,,,20.637079,6.7767719999999985,18.693913000000002,6.792866,19.2136185,7.154914,17.635463,8.632121999999999,18.855636,8.0387185,20.13393,6.328269499999998,18.6530975,6.757714,18.165079000000002,7.842107499999999,19.970614,6.9727455,20.35979,6.7158415,21.0590125,6.0539755,20.0353305,7.7463894999999985
109,19260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,49020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,37140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,30020,1043.0,7.245455000000001,4.678266000000001,6.8675000000000015,3.763696,6.044067999999998,3.550311,6.5095649999999985,3.71887,7.392174000000001,4.396493,6.709836,3.542619,6.1728809999999985,3.813912,6.896610000000001,4.172784,5.982353,3.720093,4.751,2.8719650000000003,5.044898,2.499283,5.587234,3.48799,,,,,,,,,,,,,,,,,,,,,,,,
113,15500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,27180,1208.0,,,,,,,,,,,,,,,,,,,,,,,,,17.310684,9.564457,15.555476,9.1063885,14.935026500000001,8.857211999999999,15.735651999999998,10.6670195,16.230553999999998,9.8098485,17.2058555,8.12145,14.625865999999998,9.212242,14.094627499999998,9.319901,16.568017,9.301597000000001,16.385630499999998,8.8979935,16.9584895,8.346224000000001,-9.4,0.0
115,36700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,26740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,24020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,48660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,47580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,21300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,19300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,19140,363.0,11.169072,7.504865,8.311765,4.877536,6.381818,3.606637,7.939622999999999,3.7835650000000003,7.885567,4.957990000000001,6.404039999999998,3.066971,5.852525,3.1455290000000002,6.260952,3.9110910000000003,5.404505,3.859825,5.255882,2.819858,5.181132,2.604213,4.811504,2.925618,,,,,,,,,,,,,,,,,,,,,,,,
123,11340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,10880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,37020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,26860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,12300,609.0,,,,,,,,,,,,,,,,,,,,,,,,,7.6262713333333325,10.486108,8.520563000000001,10.050287666666666,7.832934,10.390541333333333,8.351308666666666,9.802663666666666,7.699566333333332,10.203931333333333,9.78962,10.236643666666666,7.270617333333332,10.923523666666664,8.438982000000001,10.865108666666664,8.905400333333334,11.410829666666665,9.902462333333334,9.710578,9.334072333333333,10.46976,7.970775333333332,11.499386666666664
128,38820,1342.0,2.407908,1.40097475,2.5510485000000003,1.4759772500000001,2.71968175,1.7737604999999999,2.159596,1.5364545,2.21151225,1.38682525,2.10677025,1.531636,2.08464325,1.5694487499999998,2.4520325000000005,1.703564,2.3369385,2.2488960000000002,1.88000925,1.218797,3.2478665,7.9135045,3.25135575,7.78768975,,,,,,,,,,,,,,,,,,,,,,,,
129,41100,1305.0,3.913393,2.76697,3.548739,2.90531,3.026667,1.665964,2.523585,1.519872,2.74023,1.942993,3.044828,1.794889,2.878261,1.730875,2.713445,1.406458,2.674312,1.6813470000000001,2.602479,1.5635679999999998,2.9593220000000002,1.990415,3.4184870000000003,2.24571,,,,,,,,,,,,,,,,,,,,,,,,
130,36140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,47700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,11980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,37820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,45180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,36220,1241.0,8.201124,3.566724,8.05142,3.386566,7.301653,3.022073,7.3772850000000005,2.950581,9.648246,5.037913,8.352542,3.386167,7.636011,4.157039,8.034262,3.78846,7.140822,3.1779900000000003,6.562182000000001,3.059428,6.595428999999998,3.114507,8.063492,4.090153,,,,,,,,,,,,,,,,,,,,,,,,
136,17420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,49780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,16500,1371.0,1.460345,1.329,1.871186,2.642037,2.197458,3.3219410000000003,1.341071,1.816122,1.227027,1.521957,2.6965220000000003,5.582082,1.454464,1.996794,1.470642,1.667628,2.36699,6.1883409999999985,1.051786,1.0481200000000002,2.992593,7.632845,3.648649,10.341187,,,,,,,,,,,,,,,,,,,,,,,,
139,30300,1334.0,9.790169,6.41585,8.682451,5.441024,8.378933,4.8050419999999985,7.1637879999999985,4.443346,6.077007999999998,3.923865,10.397802,12.874071,9.158204,6.14231,7.6382759999999985,5.947081,8.022846000000001,4.818842,7.068785000000001,4.015695,11.819308,19.57174,9.443999999999999,10.801938,,,,,,,,,,,,,,,,,,,,,,,,
